t,T,edge,bal,ela
0.0,1.3633414941949988,10300.0,1243704.6952754725,1075.9965883743341
1.0,1.3696241577006019,10250.0,1355767.0847270414,1076.5470014747448
2.0,1.3774587134355079,10250.0,1361305.3283766164,1077.166990680536
3.0,1.385253348461677,10250.0,1366933.5511991745,1077.9023075194177
4.0,1.3923561420286967,10250.0,1372646.342748846,1078.580885209202
5.0,1.3986048975038878,10250.0,1378437.253563745,1079.1251830032004
6.0,1.4040230113414607,10250.0,1384299.2028473346,1079.5183346752747
7.0,1.4086940062955149,10250.0,1390225.3398360228,1079.7695543837244
8.0,1.4127138017517256,10200.0,1501960.7625193289,1079.8966146848497
9.0,1.4161734837866513,10200.0,1508351.0015029358,1079.9184273295587
10.0,1.4191539001293743,10200.0,1514807.3850069977,1079.8523747950128
11.0,1.4217247941561455,10200.0,1521321.754003658,1079.7136149703056
12.0,1.423945591298188,10150.0,1632579.6513389638,1079.5151103139403
13.0,1.425866683969578,10150.0,1639539.9653578084,1079.2678730221392
14.0,1.427530761738912,10150.0,1646547.6107381703,1078.9812408694545
15.0,1.4289740218458933,10150.0,1653587.6085184393,1078.6631272777577
16.0,1.4302272138127536,10150.0,1660619.727568278,1078.3202350776373
17.0,1.4313165191102728,10150.0,1667462.4153720252,1077.958236997056
18.0,1.4322642837211808,10150.0,1673677.624922609,1077.5819283722105
19.0,1.4330896256127597,10200.0,1575651.6605602633,1077.195356958104
20.0,1.4338089382342067,10250.0,1475797.7838270348,1076.8019336430852
21.0,1.4344363085101035,10300.0,1374080.3896465413,1076.4045269966066
22.0,1.4349838648135327,10350.0,1270387.414003605,1076.0055439519429
23.0,1.4354620676248109,10400.0,1164756.990229887,1075.6069984971518
24.0,1.4358799531953261,10500.0,946373.1068758722,1075.2105700605136
25.0,1.4362453385619647,10550.0,836931.2275903011,1074.817653140014
26.0,1.436564994657183,10600.0,726148.6727043549,1074.4293995078008
27.0,1.4368447929749264,10650.0,614309.885146562,1074.0467541302212
28.0,1.437089830225779,10700.0,501723.8995105885,1073.6704858064968
29.0,1.4373045345947846,10750.0,388612.6646390492,1073.3012134004082
30.0,1.4374927565599007,10800.0,274973.4846297633,1083.2413613391986
31.0,1.4376578467035275,10850.0,160806.95062325057,1082.90014351833
32.0,1.4378027225267003,10900.0,46077.08560993429,1082.5675769651425
33.0,1.43792992593385,10950.0,-69258.50137980189,1082.2437903847472
34.0,1.4380416727786303,11000.0,-185255.27281419095,1081.9288563515388
35.0,1.4381398956349747,11050.0,-301959.40084121283,1081.6228003766826
36.0,1.438226280772029,11050.0,-304509.3188589392,1081.3256085037851
