t,T,edge,bal,ela
0.0,1.3633414941949988,10300.0,1243704.6952754725,1075.996485351925
1.0,1.3700659823401269,10250.0,1355759.175674405,1076.556419759022
2.0,1.3783164180674126,10250.0,1361287.7758405963,1077.1922599824552
3.0,1.3864385079673651,10250.0,1366905.4709367203,1077.9372140190333
4.0,1.393786753179243,10250.0,1372607.8553586714,1078.6133014277639
5.0,1.4002183371018502,10250.0,1378389.2136486145,1079.1448054964058
6.0,1.4057734737723537,10250.0,1384242.937074556,1079.518035127047
7.0,1.4105480697832897,10250.0,1390162.544575504,1079.7448355121637
8.0,1.4146468459587984,10250.0,1396141.4459775435,1079.844815202517
9.0,1.4181671428973113,10200.0,1508165.5741414456,1079.8381130852183
10.0,1.4211943029601697,10200.0,1514608.6858099317,1079.7429407979726
11.0,1.4238013466693369,10200.0,1521112.2036314746,1079.5750330119035
12.0,1.4260501245734192,10150.0,1632178.51144127,1079.3477628931846
13.0,1.4279928488908853,10150.0,1639099.5551765766,1079.072436658988
14.0,1.429673592109947,10150.0,1646053.400445398,1078.7585992007835
15.0,1.431129614187184,10150.0,1652994.8521653842,1078.4143041775665
16.0,1.4323924892714688,10150.0,1659788.6347729173,1078.046342747033
17.0,1.4334890440644807,10150.0,1666140.2193427868,1077.6604359678097
18.0,1.434442132974298,10200.0,1568205.2189500397,1077.261397190134
19.0,1.4352712769344658,10250.0,1468405.4721261198,1076.8532697042658
20.0,1.4359931902805103,10300.0,1366729.2955500074,1076.4394437043495
21.0,1.4366222163961497,10350.0,1263094.9103551032,1076.0227557034248
22.0,1.437170689167142,10400.0,1157492.2375077512,1075.6055729150607
23.0,1.4376492340420883,10450.0,1050040.1574011194,1075.1898647307496
24.0,1.4380670197987042,10550.0,829534.8297313908,1074.7772631667767
25.0,1.4384319699234078,10600.0,718699.3593201805,1074.3691139953105
26.0,1.4387509407600048,10650.0,606752.7377291312,1073.9665200777213
27.0,1.4390298721912105,10700.0,494037.02951857354,1073.5703781908585
28.0,1.4392739155131986,10750.0,380783.64006924257,1073.18141043367
29.0,1.4394875422878366,10800.0,266988.56954636425,1083.098199289435
30.0,1.439674637261187,10850.0,152655.38403567858,1082.738253526506
31.0,1.4398385778812424,10900.0,37756.601551144384,1082.387399302349
32.0,1.4399823025025595,10950.0,-77732.76801300794,1082.0457966788936
33.0,1.4401083690069294,11000.0,-193848.10646905657,1081.713541454545
34.0,1.440219005278796,11050.0,-310630.2813844774,1081.390675698168
35.0,1.4403161527380801,11100.0,-428094.4089201484,1081.077196522921
36.0,1.4404015039397189,11150.0,-546256.0943337418,1080.7730633688186
37.0,1.4404765350904798,11150.0,-549756.2938441895,1080.478204050513
38.0,1.4405425342023,11200.0,-668532.5888047377,1080.1925198034403
39.0,1.440600625492448,11250.0,-787852.9714879608,1079.9158895283877
40.0,1.4406517905499063,11250.0,-792633.5327567393,1079.6481733977778
41.0,1.4406968867112253,11300.0,-912592.3516257675,1079.389215951942
42.0,1.4407366630250982,11350.0,-1033026.6457907129,1079.1388487833108
43.0,1.4407717741308153,11350.0,-1038651.7852684855,1078.896892881781
44.0,1.4408027923300208,11400.0,-1159668.1404055972,1078.6631606956273
45.0,1.4408302180922208,11450.0,-1281344.262314017,1078.437457948464
46.0,1.4408544892014126,11450.0,-1287502.2921183053,1078.2195852430718
47.0,1.4408759887228237,11500.0,-1409719.7239572667,1078.0093394764342
48.0,2.907472658344507,11500.0,-19740918.123419613,1303.082464557803
49.0,1.6980030508189552,11500.0,-4639614.261926407,1117.676913953506
50.0,1.9849391556856952,11550.0,-8366476.361079764,1159.3288665680736
51.0,2.261752596992685,11550.0,-11848346.77831888,1205.311006440731
52.0,0.26275852582276027,11600.0,13054015.044467099,897.0496334398406
53.0,2.861160903249025,11600.0,-19533147.877223365,1296.7051748832032
54.0,2.8588991851854724,11600.0,-19523782.532099232,1295.7306509720875
55.0,1.6857933962024463,11600.0,-4845654.324499147,1115.1969600567645
56.0,1.1835233210379057,11650.0,1310214.3755679913,1031.8484620384716
57.0,-0.7616517988897096,11650.0,25700694.77130223,739.1884687861298
58.0,1.6283968744150643,11650.0,-4322245.115149785,1106.6419767893797
59.0,1.6563280165735739,11700.0,-4805993.891198967,1106.3669666208036
60.0,2.2612561089468857,11700.0,-12424008.02722109,1204.2609697872308
61.0,1.052940308972313,11700.0,2753211.151821416,1011.9246965387373
62.0,1.8062378347397958,11700.0,-6733325.956480911,1135.0785491915935
63.0,1.0341109822016437,11700.0,2959443.8804825842,1011.5003899911408
64.0,2.2336790229475048,11750.0,-12268804.25065068,1199.503347515077
65.0,1.5243951408307632,11750.0,-3352286.6822772305,1093.9395755940334
66.0,2.29832991340825,11750.0,-13114855.053994644,1208.1440797490018
67.0,0.9299408913233789,11750.0,4097185.636809552,994.820175202747
68.0,1.2767195648529102,11750.0,-289093.4510517828,1051.765633268951
69.0,0.24208603059054123,11750.0,12722226.642789215,891.6030282040268
70.0,1.397246988720025,11750.0,-1836390.8587211864,1073.4862702171063
71.0,0.5958138815486604,11750.0,8247214.500463064,947.2458704123624
72.0,0.2713535136312233,11750.0,12327501.676323693,897.151318558014
73.0,0.9841782722573251,11750.0,3351769.5116693433,1011.9242131514513
74.0,1.2587947125134624,11750.0,-101461.57213196158,1053.9045938823883
75.0,0.9882451628596565,11750.0,3311133.0842031576,1012.3353429419174
